Arc Name,Arc Type,Total Chapters,Manga Percentage,Total Episodes,Total Minutes,Anime Percentage
Romance Dawn Arc,Canon,7,0.0067,3,72,0.0028
Orange Town Arc,Canon,14,0.0133,5,120,0.0046
Syrup Village Arc,Canon,20,0.0191,10,240,0.0093
Baratie Arc,Canon,27,0.0257,12,288,0.0112
Arlong Park Arc,Canon,27,0.0257,14,360,0.013
Buggy's Crew Adventure Chronicles Arc,Filler,0,0,2,48,0.0019
Loguetown Arc,Canon,5,0.0046,7,144,0.0065
Warship Island Arc,Filler,0,0,8,192,0.0074
Reverse Mountain Arc,Canon,5,0.0046,2,48,0.0019
Whiskey Peak Arc,Canon,9,0.0082,4,96,0.0037
Diary of Koby-Meppo Arc,Filler,0,0,2,48,0.0019
Little Garden Arc,Canon,15,0.0143,8,192,0.0074
Drum Island Arc,Canon,25,0.0238,14,336,0.013
Arabasta Arc,Canon,63,0.0601,39,936,0.0362
Post-Arabasta Arc,Filler,0,0,5,120,0.0046
Goat Island Arc,Filler,0,0,3,72,0.0028
Ruluka Island Arc,Filler,0,0,5,120,0.0046
Jaya Arc,Canon,19,0.0181,9,216,0.0084
Skypiea Arc,Canon,66,0.0629,43,1032,0.04
G-8 Arc,Filler,0,0,11,264,0.0102
Long Ring Long Land Arc,Canon,19,0.0181,13,360,0.0121
Ocean's Dream Arc,Filler,0,0,5,120,0.0046
Foxy's Return Arc,Filler,0,0,2,48,0.0019
Water 7 Arc,Canon,53,0.0505,37,840,0.0344
Enies Lobby Arc,Canon,56,0.0534,46,1176,0.0428
Post-Enies Lobby Arc,Canon,11,0.0105,13,312,0.0121
Ice Hunter Arc,Filler,0,0,10,264,0.0093
Chopper Man Special,Filler,0,0,1,24,0.0009
Thriller Bark Arc,Canon,48,0.0458,45,1080,0.0418
Spa Island Arc,Canon,0,0,3,72,0.0028
Sabaody Archipelago Arc,Canon,24,0.0229,21,504,0.0195
Boss Luffy Historical Special,Canon,0,0,5,48,0.0046
Amazon Lily Arc,Canon,11,0.0105,10,336,0.0093
Straw Hat's Separation Serial,Filler,0,0,8,192,0.0074
Impel Down Arc,Canon,25,0.0238,27,744,0.0251
Little East Blue Arc,Filler,0,0,4,96,0.0037
Marineford Arc,Canon,31,0.0296,33,792,0.0307
Post-War Arc,Canon,17,0.0162,26,648,0.0242
Toriko Crossover,Filler,0,0,2,48,0.0019
Return to Sabaody Arc,Canon,5,0.0048,6,144,0.0056
Fishman Island Arc,Canon,51,0.0486,51,1248,0.0474
Z's Ambition Arc,Filler,0,0,4,96,0.0037
Punk Hazard Arc,Canon,46,0.0439,46,1128,0.0428
Toriko and Dragon Ball Crossover,Filler,0,0,1,24,0.0009
Caesar Retrieval Arc,Filler,0,0,3,72,0.0028
Dressrosa Arc,Canon,102,0.0972,118,2832,0.1097
Silver Mine Arc,Filler,0,0,4,96,0.0037
Zou Arc,Canon,23,0.0219,29,696,0.027
Marine Rookie Arc,Filler,0,0,3,72,0.0028
Whole Cake Island Arc,Canon,78,0.0744,95,2280,0.0883
Levely Arc,Canon,6,0.0057,12,288,0.0112
Cidre Guild Arc,Filler,0,0,2,624,0.0019
Anime 20th Anniversary Special,Filler,0,0,1,24,0.0009
Uta's Past Arc,Filler,0,0,2,984,0.0019
Wano Country Arc,Canon,141,0.1351,182,1680,0.1691
